Category,SubCategory,Type,Name,SegmentId,SegmentIdLong,Last Compute Day,Description
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_Returning User,Mj1s-oKA,tu6w0fzte,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Status_Registered_1x180,MZiMfI0A,tl5lnk0nm,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Media-Exposure_Exposed_1x180,MZiOXkl4,tl5l6do1m,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Media-Exposure_Impressions_1-5x180,MZiX_18M,tl5ouka6m,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Media-Exposure_Impressions_11-50x180,MZiYr-NA,tl5o1f88y,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Media-Exposure_Impressions_51+x180,MZiZf-Dd,tl5o9kewf,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Media-Exposure_Impressions_6-10x180,MZiaNCFt,tl5pgllvj,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Media-Interaction_Clicks_1x180,MZibD8Fa,tl5po53t4,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Media-Interaction_Clicks_2+x180,MZibrSNm,tl5pva6c4,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Media-Exposure_NonExposed_1x180,MZakRsGJ,tl1t6zlln,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Onsite-Behaviour_Converters Purchasers_1x180,MZardDKQ,tl1v6ok5u,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Onsite-Behaviour_Converters Try It_1x180,MZapE0ws,tl1vixada,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Onsite-Behaviour_Non Converters_1x180,MZaoA4T6,tl1u8bi4c,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Page-Visit_cart_1x180,MZav4ozZ,tl1xexyzv,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Page-Visit_home_1x180,MZaxmzgz,tl1xv4ypx,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Page-Visit_Iqos 2.4 Plus_1x180,Mj2xhLDI,tu7f02hcq,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Page-Visit_Iqos 3 Multi_1x180,MZghGpt_,tl4ruyvwx,2019-04-09,
